"filename", "language", "JavaScript", "SCSS", "Markdown", "JSON", "HTML", "Log", "comment", "blank", "total"
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Reducers/posts.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 5, 67
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Reducers/root.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Reducers/users.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 4, 47
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Styles/_main.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Styles/abstracts/_variables.scss", "SCSS", 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Styles/base/_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Styles/components/_buttons.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Styles/components/_links.scss", "SCSS", 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Utils/setAuthHeader.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/setupProxy.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/store.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/yarn-error.log", "Log", 0, 0, 0, 0, 0, 10641, 0, 1576, 12217
"Total", "-", 1744, 517, 38, 15671, 17, 10641, 20, 1828, 30476
